Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
76, -373, 948
, -2, 0, -1
, 1, 1, 0
83, -380, 950
, -1, 0, -1
, -1, 1, 1
80, -378, 947
, -2, 0, 0
, 1, 0, 0
81, -370, 949
, -1, 0, 0
, -1, -1, 1
78, -373, 953
, -1, 1, 0
, 1, -1, -1
77, -370, 938
, -2, -1, -2
, 1, 1, 0
68, -334, 985
, 5, -2, 9
, 2, -1, -1
64, -338, 958
, -2, 0, -2
, 0, 0, -2
68, -346, 955
, -5, 0, 2
, 3, 0, -2
67, -343, 964
, -1, 0, 0
, 2, -1, 0
61, -335, 959
, -2, 0, -1
, 0, 0, -1
61, -341, 962
, -1, 0, -1
, 0, -2, -1
66, -339, 960
, -1, 0, 0
, 0, -1, 1
67, -343, 966
, -1, 1, 0
, 1, 0, 0
61, -340, 960
, -1, 0, 0
, 1, -1, -1
65, -343, 963
, -1, 0, -1
, 0, 0, 0
64, -341, 963
, -1, -1, 0
, 1, -1, 0
61, -344, 963
, -1, 0, 0
, 1, 0, -2
61, -341, 959
, -2, -1, -1
, 2, 0, -2
67, -338, 962
, -1, 0, 0
, 0, -2, -1
66, -338, 963
, -5, -11, 1
, -1, 1, 0
66, -340, 966
, -1, 0, 1
, 0, -1, -2
65, -338, 965
, -1, 0, 0
, -1, -1, 0
71, -335, 968
, -1, 0, 0
, 0, 0, -2
71, -341, 958
, -2, 0, -1
, 0, -1, 0
66, -339, 963
, -2, 0, -1
, 0, 0, 0
70, -340, 963
, 3, 3, -3
, 1, -1, -1
63, -340, 961
, -1, -1, 0
, -1, 0, -1
63, -334, 964
, -2, 0, -1
, 0, 0, 0
66, -336, 968
, 0, 0, 2
, 0, 0, 1
65, -337, 964
, -2, 0, -1
, 0, 0, -1
68, -340, 963
, -1, 0, 0
, 0, -1, 0
63, -335, 966
, -2, 0, -1
, 1, -1, 1
62, -338, 961
, -2, 0, -1
, 0, 0, -1
61, -333, 966
, -1, 0, -1
, 0, 0, -1
66, -333, 965
, -2, 0, -1
, 1, -1, -1
62, -334, 964
, -2, 0, -1
, 1, 0, 1
61, -338, 968
, -2, 0, 0
, 0, 0, -1
61, -335, 965
, -2, 0, -1
, 1, -1, -1
64, -338, 966
, -1, 0, 0
, 0, -1, 0
74, -334, 982
, 6, 4, 1
, -1, -2, -2
78, -334, 963
, -1, 2, -2
, 0, -2, 0
76, -332, 958
, -4, 0, -6
, 0, -1, 0
66, -336, 960
, -2, 0, -2
, 1, 0, 0
71, -337, 964
, -1, 0, 0
, 0, -1, -2
73, -333, 954
, -1, 0, 0
, 1, -1, -1
67, -338, 963
, -2, 0, -2
, -1, -1, -2
67, -337, 962
, -1, 0, 0
, -1, -2, -2
72, -337, 960
, -1, -2, 3
, 0, -1, 0
68, -332, 941
, -6, 0, -5
, -1, -1, -1
65, -339, 950
, -3, 1, 1
, 0, -1, 0
